エクスポート日時(UTC),エクスポート日時(JST),リポジトリ名,フルネーム,説明,ステータス,活動種別,最終活動からの日数,スター数,フォーク数,ウォッチャー数,未解決Issue数,クローズ済みIssue数,コミット数,サイズ,使用言語,ライセンス,トピック,アーカイブ状態,公開状態,デフォルトブランチ,Issues有効,Wiki有効,Projects有効,ホームページ,作成日,最終更新日,最終Push日,Issue最終更新日,最新リリース,URL
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,market-platform,KenichiroArai/market-platform,マーケットプラットフォーム,頻繁に更新,Push,0,0,0,0,1,6,13,333 KB,TypeScript,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2026-07-24,2026-07-28,2026-07-28,2026-07-28,リリースなし,https://github.com/KenichiroArai/market-platform
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,Blog,KenichiroArai/Blog,説明なし,頻繁に更新,Push,0,0,0,0,0,41,1398,88 MB,HTML,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2018-09-24,2026-07-28,2026-07-28,2026-07-03,リリースなし,https://github.com/KenichiroArai/Blog
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,cursor-usage,KenichiroArai/cursor-usage,Cursorの使用量の記録を公開する。,頻繁に更新,Push,0,0,0,0,0,5,203,6 MB,TypeScript,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2026-02-13,2026-07-28,2026-07-28,2026-02-16,v1.0.0 (2026-02-16),https://github.com/KenichiroArai/cursor-usage
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,repo-observer,KenichiroArai/repo-observer,リポジトリ・オブザーバー,頻繁に更新,Push,0,0,0,0,57,1,253,908 KB,TypeScript,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-12-02,2026-07-27,2026-07-27,2026-01-01,v1.2.1 (2025-12-10),https://github.com/KenichiroArai/repo-observer
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,daily-tasks-git,KenichiroArai/daily-tasks-git,毎日タスクGIT用,頻繁に更新,Issue更新,0,0,0,0,1,300,23,33 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-10-01,2026-07-26,2026-07-26,2026-07-28,リリースなし,https://github.com/KenichiroArai/daily-tasks-git
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,investment,KenichiroArai/investment,投資全般（システム開発を除く）,頻繁に更新,Issue更新,0,0,0,0,2,4,1,1 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2026-07-23,2026-07-25,2026-07-23,2026-07-28,リリースなし,https://github.com/KenichiroArai/investment
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,kmg-jrnl,KenichiroArai/kmg-jrnl,KMG記録。jrnlは「journal」の略。KMGシリーズの記録を行うプロジェクトです。,頻繁に更新,Push,4,0,0,0,0,0,22,35 KB,Shell,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-04-14,2026-07-24,2026-07-24,2025-09-09,リリースなし,https://github.com/KenichiroArai/kmg-jrnl
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,gr-marathon-diary,KenichiroArai/gr-marathon-diary,マラソン日記のSpring Boot APIである。,頻繁に更新,Push,5,0,0,0,0,0,1,1 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2026-07-23,2026-07-23,2026-07-23,なし,リリースなし,https://github.com/KenichiroArai/gr-marathon-diary
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,mk-marathon-diary,KenichiroArai/mk-marathon-diary,マラソン日記のWebフロントエンド（React / Next.js）である。,頻繁に更新,Push,5,0,0,0,0,0,1,1 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2026-07-23,2026-07-23,2026-07-23,なし,リリースなし,https://github.com/KenichiroArai/mk-marathon-diary
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,kb-marathon-diary,KenichiroArai/kb-marathon-diary,マラソン日記の全体設計・ドキュメント・仕様・DB設計・API仕様・運用・将来の共通ライブラリである。,頻繁に更新,Push,5,0,0,0,0,0,1,1 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2026-07-23,2026-07-23,2026-07-23,なし,リリースなし,https://github.com/KenichiroArai/kb-marathon-diary
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,investment-portfolio,KenichiroArai/investment-portfolio,投資ポートフォリオ管理ツール。投資ポートフォリオの管理と分析を目的としたツール。コア・サテライト戦略、NISA・iDeCo管理、資産クラス分析、通貨配分分析、リバランス計算、時系列管理、将来シミュレーションなどをサポートする。,頻繁に更新,Issue更新,7,0,0,0,0,52,199,15 MB,TypeScript,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2026-06-01,2026-07-21,2026-07-21,2026-07-21,v0.7.0 (2026-07-21),https://github.com/KenichiroArai/investment-portfolio
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,tmh-calendar-import-tool,KenichiroArai/tmh-calendar-import-tool,TMHカレンダーインポートツール,時々更新,Issue更新,57,0,0,0,0,13,31,248 KB,TypeScript,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2026-03-14,2026-05-31,2026-06-01,2026-06-01,v0.5.3 (2026-06-01),https://github.com/KenichiroArai/tmh-calendar-import-tool
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,learning-nextjs-reading-recorder,KenichiroArai/learning-nextjs-reading-recorder,「改訂新版 これからはじめるReact実践入門　コンポーネントの基本からNext.jsによるアプリ開発まで」の第11章の学習用。学習用Issue：https://github.com/KenichiroArai/everyday-use-git/issues/336。,時々更新,Push,65,0,0,0,0,0,42,388 KB,TypeScript,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,https://learning-nextjs-reading-recorder.vercel.app,2026-04-22,2026-05-24,2026-05-24,なし,リリースなし,https://github.com/KenichiroArai/learning-nextjs-reading-recorder
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,highschool-learning,KenichiroArai/highschool-learning,高校の教科書レベルから大学受験レベルまでの学習内容を体系的に管理するプロジェクトである。,頻繁に更新,Issue更新,0,0,0,0,1,5,1,1 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2026-04-01,2026-04-01,2026-04-01,2026-07-28,リリースなし,https://github.com/KenichiroArai/highschool-learning
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,kmg-core,KenichiroArai/kmg-core,KMGコア。KMGシリーズの核になるプロジェクトです。フレームワークなどの依存関係が少ないです。,頻繁に更新,Issue更新,1,0,0,0,0,66,783,6 MB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2021-11-27,2026-03-08,2026-07-27,2026-07-27,v0.3.2 (2026-03-08),https://github.com/KenichiroArai/kmg-core
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,kmg-tool-gui,KenichiroArai/kmg-tool-gui,KMGツールのGUI。,時々更新,Issue更新,142,0,0,0,0,18,64,4 MB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-10-18,2026-03-08,2026-03-08,2026-03-08,v0.2.0 (2026-03-08),https://github.com/KenichiroArai/kmg-tool-gui
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,kmg-javafx,KenichiroArai/kmg-javafx,KMGシリーズのJavaFX共通機能。,頻繁に更新,Issue更新,1,0,0,0,1,9,67,4 MB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-10-18,2026-03-07,2026-07-27,2026-07-27,v0.2.0 (2026-03-07),https://github.com/KenichiroArai/kmg-javafx
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,kmg-tool-cli,KenichiroArai/kmg-tool-cli,KMGツールのCLI。,定期的に更新,Push,15,0,0,0,0,15,76,4 MB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-10-18,2026-03-05,2026-07-13,2026-07-13,v0.2.0 (2026-03-05),https://github.com/KenichiroArai/kmg-tool-cli
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,kmg-tool-base,KenichiroArai/kmg-tool-base,KMGツール。Java開発における基本的なツールやKMGシリーズのツールの基盤となるプロジェクトです。,定期的に更新,Issue更新,15,0,0,0,0,132,1658,5 MB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2021-11-30,2026-03-03,2026-07-13,2026-07-13,v0.3.0 (2026-03-03),https://github.com/KenichiroArai/kmg-tool-base
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,kmg-fund,KenichiroArai/kmg-fund,KMG基盤。KMGシリーズの基盤になるプロジェクトです。Spring Bootフレームワークをベースにしている。,時々更新,Issue更新,43,0,0,0,0,50,289,4 MB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-02-06,2026-03-01,2026-06-15,2026-06-15,v0.3.1 (2026-03-01),https://github.com/KenichiroArai/kmg-fund
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,everyday-use-git,KenichiroArai/everyday-use-git,日常使用GIT用,頻繁に更新,Issue更新,0,0,0,0,24,335,1,1 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-08-05,2025-12-02,2025-08-05,2026-07-28,リリースなし,https://github.com/KenichiroArai/everyday-use-git
2026-07-28T19:39:04.886Z,2026-07-29T04:39:04.886+09:00,simple-repo-observer,KenichiroArai/simple-repo-observer,シンプル・リポジトリ・オブザーバー。GitHub上の全リポジトリを定期的に観測し、状態を自動で可視化・整理する統合管理リポジトリです。,更新が少ない,Issue更新,195,0,0,0,60,0,2,14 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-11-12,2025-11-13,2025-11-13,2026-01-14,リリースなし,https://github.com/KenichiroArai/simple-repo-observer
