エクスポート日時(UTC),エクスポート日時(JST),リポジトリ名,フルネーム,説明,ステータス,活動種別,最終活動からの日数,スター数,フォーク数,ウォッチャー数,未解決Issue数,クローズ済みIssue数,コミット数,サイズ,使用言語,ライセンス,トピック,アーカイブ状態,公開状態,デフォルトブランチ,Issues有効,Wiki有効,Projects有効,ホームページ,作成日,最終更新日,最終Push日,Issue最終更新日,最新リリース,URL
2026-01-29T18:55:56.924Z,2026-01-30T03:55:56.924+09:00,repo-observer,KenichiroArai/repo-observer,リポジトリ・オブザーバー,頻繁に更新,Push,1,0,0,0,57,1,75,435 KB,TypeScript,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-12-02,2026-01-28,2026-01-28,2026-01-01,v1.2.1 (2025-12-10),https://github.com/KenichiroArai/repo-observer
2026-01-29T18:55:56.924Z,2026-01-30T03:55:56.924+09:00,Blog,KenichiroArai/Blog,説明なし,頻繁に更新,Push,1,0,0,0,0,36,1215,75 MB,HTML,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2018-09-24,2026-01-28,2026-01-28,2025-12-11,リリースなし,https://github.com/KenichiroArai/Blog
2026-01-29T18:55:56.924Z,2026-01-30T03:55:56.924+09:00,kmg-tool-cli,KenichiroArai/kmg-tool-cli,KMGツールのCLI。,頻繁に更新,Push,0,0,0,0,3,12,60,380 KB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-10-18,2026-01-27,2026-01-29,2026-01-29,v0.1.2 (2026-01-22),https://github.com/KenichiroArai/kmg-tool-cli
2026-01-29T18:55:56.924Z,2026-01-30T03:55:56.924+09:00,kmg-tool-base,KenichiroArai/kmg-tool-base,KMGツール。Java開発における基本的なツールやKMGシリーズのツールの基盤となるプロジェクトです。,頻繁に更新,Issue更新,2,0,0,0,0,130,1644,5 MB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2021-11-30,2026-01-27,2026-01-27,2026-01-27,v0.2.7 (2026-01-27),https://github.com/KenichiroArai/kmg-tool-base
2026-01-29T18:55:56.924Z,2026-01-30T03:55:56.924+09:00,kmg-tool-gui,KenichiroArai/kmg-tool-gui,KMGツールのGUI。,頻繁に更新,Issue更新,5,0,0,0,2,13,41,196 KB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-10-18,2026-01-23,2026-01-23,2026-01-24,v0.1.2 (2026-01-23),https://github.com/KenichiroArai/kmg-tool-gui
2026-01-29T18:55:56.924Z,2026-01-30T03:55:56.924+09:00,kmg-fund,KenichiroArai/kmg-fund,KMG基盤。KMGシリーズの基盤になるプロジェクトです。Spring Bootフレームワークをベースにしている。,頻繁に更新,Issue更新,3,0,0,0,0,45,266,677 KB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-02-06,2026-01-12,2026-01-26,2026-01-26,v0.2.4 (2026-01-12),https://github.com/KenichiroArai/kmg-fund
2026-01-29T18:55:56.924Z,2026-01-30T03:55:56.924+09:00,daily-tasks-git,KenichiroArai/daily-tasks-git,毎日タスクGIT用,頻繁に更新,Issue更新,0,0,0,0,1,120,12,17 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-10-01,2026-01-09,2026-01-09,2026-01-29,リリースなし,https://github.com/KenichiroArai/daily-tasks-git
2026-01-29T18:55:56.924Z,2026-01-30T03:55:56.924+09:00,kmg-core,KenichiroArai/kmg-core,KMGコア。KMGシリーズの核になるプロジェクトです。フレームワークなどの依存関係が少ないです。,定期的に更新,Issue更新,10,0,0,0,0,61,757,1 MB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2021-11-27,2026-01-08,2026-01-19,2026-01-19,v0.2.6 (2026-01-08),https://github.com/KenichiroArai/kmg-core
2026-01-29T18:55:56.924Z,2026-01-30T03:55:56.924+09:00,kmg-javafx,KenichiroArai/kmg-javafx,KMGシリーズのJavaFX共通機能。,頻繁に更新,Push,3,0,0,0,1,7,53,158 KB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-10-18,2025-12-22,2026-01-26,2026-01-26,v0.1.1 (2025-12-22),https://github.com/KenichiroArai/kmg-javafx
2026-01-29T18:55:56.924Z,2026-01-30T03:55:56.924+09:00,everyday-use-git,KenichiroArai/everyday-use-git,日常使用GIT用,頻繁に更新,Issue更新,0,0,0,0,27,251,1,1 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-08-05,2025-12-02,2025-08-05,2026-01-29,リリースなし,https://github.com/KenichiroArai/everyday-use-git
