エクスポート日時(UTC),エクスポート日時(JST),リポジトリ名,フルネーム,説明,ステータス,活動種別,最終活動からの日数,スター数,フォーク数,ウォッチャー数,未解決Issue数,クローズ済みIssue数,コミット数,サイズ,使用言語,ライセンス,トピック,アーカイブ状態,公開状態,デフォルトブランチ,Issues有効,Wiki有効,Projects有効,ホームページ,作成日,最終更新日,最終Push日,Issue最終更新日,最新リリース,URL
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,sample-java-simple-releases,KenichiroArai/sample-java-simple-releases,シンプルなJavaでGitHub Releasesを試すサンプルプロジェクトです。,停滞中,Push,393,0,0,0,0,0,89,69 KB,Batchfile,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-02-13,2025-02-17,2025-02-17,2025-02-17,v0.1.0 (2025-02-17),https://github.com/KenichiroArai/sample-java-simple-releases
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,example-github-cicd,KenichiroArai/example-github-cicd,説明なし,停滞中,Push,413,0,0,0,0,0,5,3 KB,Go,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-01-26,2025-01-28,2025-01-28,なし,リリースなし,https://github.com/KenichiroArai/example-github-cicd
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,maven-dependency-sample,KenichiroArai/maven-dependency-sample,説明なし,停滞中,Issue更新,416,0,0,0,0,0,9,11 KB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-01-25,2025-01-25,2025-01-25,2025-01-25,リリースなし,https://github.com/KenichiroArai/maven-dependency-sample
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,No002_ThreeStageScreenTradingSystem_Doc,KenichiroArai/No002_ThreeStageScreenTradingSystem_Doc,三段階スクリーン・トレーディング・システムのドキュメント,停滞中,Push,420,0,0,0,0,0,64,4 MB,Batchfile,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2021-04-04,2025-01-21,2025-01-21,なし,リリースなし,https://github.com/KenichiroArai/No002_ThreeStageScreenTradingSystem_Doc
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,KMG_IM_STOCK_CORE_SRC,KenichiroArai/KMG_IM_STOCK_CORE_SRC,説明なし,停滞中,Push,420,0,0,0,0,0,13,257 KB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2021-12-01,2025-01-21,2025-01-21,なし,リリースなし,https://github.com/KenichiroArai/KMG_IM_STOCK_CORE_SRC
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,No002_ThreeStageScreenTradingSystem_Src,KenichiroArai/No002_ThreeStageScreenTradingSystem_Src,三段階スクリーン・トレーディング・システムのソース,停滞中,Push,420,0,0,0,0,0,72,465 KB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2021-04-04,2025-01-21,2025-01-21,なし,リリースなし,https://github.com/KenichiroArai/No002_ThreeStageScreenTradingSystem_Src
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,Google-Colab,KenichiroArai/Google-Colab,説明なし,停滞中,Push,420,0,0,0,0,0,11,28 KB,Jupyter Notebook,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-01-02,2025-01-21,2025-01-21,なし,リリースなし,https://github.com/KenichiroArai/Google-Colab
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,GAS,KenichiroArai/GAS,Google Apps Script,停滞中,Push,420,0,0,0,0,0,15,21 KB,JavaScript,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2024-07-03,2025-01-21,2025-01-21,なし,リリースなし,https://github.com/KenichiroArai/GAS
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,gas-spreadsheet-csv-joiner-tool,KenichiroArai/gas-spreadsheet-csv-joiner-tool,Google スプレッドシート上でGASを使い、CSVを結合ツールです。,停滞中,Push,420,0,0,0,0,0,14,93 KB,JavaScript,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-01-10,2025-01-21,2025-01-21,なし,リリースなし,https://github.com/KenichiroArai/gas-spreadsheet-csv-joiner-tool
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,fullstack-capstone-project,KenichiroArai/fullstack-capstone-project,説明なし,停滞中,Push,450,0,0,0,11,0,27,49 MB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2024-12-17,2024-12-22,2024-12-22,2024-12-17,リリースなし,https://github.com/KenichiroArai/fullstack-capstone-project
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,rofgy-backend-nodejs-finalproject,KenichiroArai/rofgy-backend-nodejs-finalproject,backend-nodejs-finalproejct,停滞中,Push,457,0,0,0,0,0,19,51 KB,HTML,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-12-15,2024-12-15,2024-12-15,なし,リリースなし,https://github.com/KenichiroArai/rofgy-backend-nodejs-finalproject
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,abltc-backend-nodejs-customerportal,KenichiroArai/abltc-backend-nodejs-customerportal,backend-nodejs-customerportal,停滞中,Push,458,0,0,0,0,0,14,166 KB,HTML,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-12-12,2024-12-14,2024-12-14,なし,リリースなし,https://github.com/KenichiroArai/abltc-backend-nodejs-customerportal
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,travelRecommendation,KenichiroArai/travelRecommendation,説明なし,停滞中,Push,461,0,0,0,0,0,8,1 MB,HTML,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2024-12-10,2024-12-11,2024-12-11,なし,リリースなし,https://github.com/KenichiroArai/travelRecommendation
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,heath_census,KenichiroArai/heath_census,説明なし,停滞中,Push,464,0,0,0,0,0,3,4 KB,HTML,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,master,はい,はい,はい,なし,2024-12-08,2024-12-08,2024-12-08,なし,リリースなし,https://github.com/KenichiroArai/heath_census
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,tc-pipeline,KenichiroArai/tc-pipeline,説明なし,停滞中,Push,466,0,0,0,0,0,76,67 KB,不明,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-12-06,2024-12-06,2024-12-06,なし,リリースなし,https://github.com/KenichiroArai/tc-pipeline
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,tax_calculator,KenichiroArai/tax_calculator,説明なし,停滞中,Push,466,0,0,0,0,0,6,21 KB,HTML,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-12-06,2024-12-06,2024-12-06,なし,リリースなし,https://github.com/KenichiroArai/tax_calculator
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,wtecc-CICD_PracticeCode,KenichiroArai/wtecc-CICD_PracticeCode,CICD_PracticeCode,停滞中,Push,467,0,0,0,0,0,25,40 KB,Python,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-12-05,2024-12-05,2024-12-05,なし,リリースなし,https://github.com/KenichiroArai/wtecc-CICD_PracticeCode
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,xrwvm-fullstack_developer_capstone,KenichiroArai/xrwvm-fullstack_developer_capstone,fullstack_developer_capstone,停滞中,Push,471,0,0,0,0,0,254,2 MB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-11-24,2024-12-01,2024-12-01,なし,リリースなし,https://github.com/KenichiroArai/xrwvm-fullstack_developer_capstone
